key,value
metadata.projectName,ASUS
metadata.repoUrl,
metadata.appUrl,https://stage-custom-pc.asus.com/us/gaming-dt
metadata.auditDate,2026-05-13
metadata.auditorName,Kalimuthu A
metadata.auditVersion,2.0.0
metadata.projectType,New Build
metadata.projectManager,
metadata.architectLead,
metadata.currentPhase,Development
summary.browserAudit.total,47
summary.browserAudit.passed,18
summary.browserAudit.failed,29
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,47
summary.codeAudit.failed,96
summary.codeAudit.notApplicable,0
summary.manualAudit.total,64
summary.manualAudit.passed,0
summary.manualAudit.failed,0
summary.manualAudit.notApplicable,64
summary.overall.total,254
summary.overall.passed,65
summary.overall.failed,125
summary.overall.notApplicable,64
summary.overall.mandatoryFailed,110
summary.overall.criticalFailed,36
summary.overall.highFailed,58
summary.overall.mediumFailed,31
scores.overall,32.2
scores.discovery,
scores.contentQuality,
scores.internationalization,
scores.design,
scores.userExperience,
scores.visualDesign,
scores.setup,
scores.development,32.8
scores.architectureReview,
scores.testing,
scores.security,56.5
scores.performance,20.8
scores.accessibility,18.2
scores.authorValidation,
scores.preGoLive,
scores.postGoLive,
scores.processGovernance,33.3
browser.accessibility.skipLinksImplemented,0
browser.accessibility.lighthouseAccessibilityScore,95
browser.accessibility.wcagViolationsCritical,95
browser.accessibility.wcagViolationsTotal,95
browser.security.inlineScriptsWithoutNonce,0
browser.security.formActionsUseHttps,1
browser.security.cspHeaderPresent,0
browser.security.cspHasUnsafeDirectives,1
browser.security.xContentTypeOptionsPresent,1
browser.security.xFrameOptionsOrCspFrameAncestors,1
browser.security.referrerPolicyPresent,1
browser.security.zeroJsErrorsInConsole,0
browser.security.noDeprecatedApiWarnings,1
browser.security.mixedContentDetected,0
browser.security.tlsCertificateValid,1
browser.security.sensitiveDataInClientStorage,1
browser.security.cookieSameSiteSecureFlags,0
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,1
browser.performance.cssDeliveryOptimized,0
browser.performance.unusedJsRemoved,0
browser.performance.webfontUsesWoff2,0
browser.performance.lighthousePerformanceScore,90
browser.performance.lcpMs,316
browser.performance.clsScore,0.00
browser.performance.inpMs,316
browser.performance.longTasksOnMainThread,1
browser.performance.tbtWithinBudget,0
browser.performance.ttfbMs,1
browser.performance.lighthouseSeoScore,61
browser.performance.lighthouseBestPracticesScore,96
browser.performance.totalPageWeightKb,1.3
browser.performance.compressionEnabled,
browser.performance.imageOptimizationIssues,0
browser.performance.resourcesOverHttp2OrHttp3,1
browser.performance.unusedJsCssPercent,
browser.performance.fcpMs,3.4
browser.performance.speedIndexMs,4
browser.performance.duplicateNetworkRequests,1
browser.development.metaDescriptionPresent,0
browser.development.metaDescriptionLength,167
browser.development.faviconPresent,0
browser.development.canonicalUrlPresent,1
browser.development.hreflangImplemented,1
browser.development.cssBeforeScriptsInHead,
browser.development.externalLinksHaveNoopener,0
browser.development.customErrorPagesExist,1
browser.development.responsiveAtAllBreakpoints,0
browser.development.clsInPerformancePanel,
browser.development.noRenderBlockingResources,0
browser.development.noConsoleLogInProduction,0
browser.development.noViolationMessagesInConsole,0
browser.development.noForcedSyncLayoutsInFlameChart,0
browser.development.noExcessiveRepaintsOnScroll,0
browser.development.noDetachedDomNodes,0
browser.development.preloadedResourcesConsumed,1
browser.development.webFontsLoadWithoutFoit,1
