key,value
metadata.projectName,AbbVie NextGen EDS
metadata.repoUrl,git@github.com:AbbVie/abbvie-nextgen-eds.git
metadata.appUrl,https://develop--dev-abbvie-com--abbvie.aem.page/science/our-people/community-of-science
metadata.auditDate,2026-05-13
metadata.auditorName,Indrani
metadata.auditVersion,2.0.0
metadata.projectType,Migration
metadata.projectManager,Development
metadata.architectLead,
metadata.currentPhase,Development
summary.browserAudit.total,47
summary.browserAudit.passed,30
summary.browserAudit.failed,17
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,74
summary.codeAudit.failed,69
summary.codeAudit.notApplicable,0
summary.manualAudit.total,64
summary.manualAudit.passed,0
summary.manualAudit.failed,0
summary.manualAudit.notApplicable,64
summary.overall.total,254
summary.overall.passed,104
summary.overall.failed,86
summary.overall.notApplicable,64
summary.overall.mandatoryFailed,78
summary.overall.criticalFailed,25
summary.overall.highFailed,38
summary.overall.mediumFailed,23
scores.overall,51.2
scores.discovery,
scores.contentQuality,
scores.internationalization,
scores.design,
scores.userExperience,
scores.visualDesign,
scores.setup,
scores.development,53.7
scores.architectureReview,
scores.testing,
scores.security,65.2
scores.performance,62.5
scores.accessibility,18.2
scores.authorValidation,
scores.preGoLive,
scores.postGoLive,
scores.processGovernance,66.7
browser.accessibility.skipLinksImplemented,
browser.accessibility.lighthouseAccessibilityScore,
browser.accessibility.wcagViolationsCritical,
browser.accessibility.wcagViolationsTotal,
browser.security.inlineScriptsWithoutNonce,
browser.security.formActionsUseHttps,
browser.security.cspHeaderPresent,
browser.security.cspHasUnsafeDirectives,
browser.security.xContentTypeOptionsPresent,
browser.security.xFrameOptionsOrCspFrameAncestors,
browser.security.referrerPolicyPresent,
browser.security.zeroJsErrorsInConsole,
browser.security.noDeprecatedApiWarnings,
browser.security.mixedContentDetected,
browser.security.tlsCertificateValid,
browser.security.sensitiveDataInClientStorage,
browser.security.cookieSameSiteSecureFlags,
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,
browser.performance.cssDeliveryOptimized,
browser.performance.unusedJsRemoved,
browser.performance.webfontUsesWoff2,
browser.performance.lighthousePerformanceScore,
browser.performance.lcpMs,
browser.performance.clsScore,
browser.performance.inpMs,
browser.performance.longTasksOnMainThread,
browser.performance.tbtWithinBudget,
browser.performance.ttfbMs,
browser.performance.lighthouseSeoScore,
browser.performance.lighthouseBestPracticesScore,
browser.performance.totalPageWeightKb,
browser.performance.compressionEnabled,
browser.performance.imageOptimizationIssues,
browser.performance.resourcesOverHttp2OrHttp3,
browser.performance.unusedJsCssPercent,
browser.performance.fcpMs,
browser.performance.speedIndexMs,
