key,value
metadata.projectName,University of Sydney
metadata.repoUrl,
metadata.appUrl,https://www.sydney.edu.au/
metadata.auditDate,2026-05-14
metadata.auditorName,Adarsh Nanda
metadata.auditVersion,2.0.0
metadata.projectType,
metadata.projectManager,
metadata.architectLead,Bhupesh/ Karthika Natarajan
metadata.currentPhase,
summary.browserAudit.total,47
summary.browserAudit.passed,24
summary.browserAudit.failed,23
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,78
summary.codeAudit.failed,22
summary.codeAudit.notApplicable,43
summary.manualAudit.total,64
summary.manualAudit.passed,7
summary.manualAudit.failed,1
summary.manualAudit.notApplicable,56
summary.overall.total,254
summary.overall.passed,109
summary.overall.failed,46
summary.overall.notApplicable,99
summary.overall.mandatoryFailed,42
summary.overall.criticalFailed,14
summary.overall.highFailed,25
summary.overall.mediumFailed,7
scores.overall,69.9
scores.discovery,
scores.contentQuality,
scores.internationalization,
scores.design,
scores.userExperience,100
scores.visualDesign,
scores.setup,100
scores.development,75.3
scores.architectureReview,
scores.testing,100
scores.security,63.6
scores.performance,45
scores.accessibility,69.2
scores.authorValidation,
scores.preGoLive,
scores.postGoLive,
scores.processGovernance,83.3
browser.accessibility.skipLinksImplemented,1
browser.accessibility.lighthouseAccessibilityScore,83
browser.accessibility.wcagViolationsCritical,83
browser.accessibility.wcagViolationsTotal,83
browser.security.inlineScriptsWithoutNonce,0
browser.security.formActionsUseHttps,1
browser.security.cspHeaderPresent,0
browser.security.cspHasUnsafeDirectives,1
browser.security.xContentTypeOptionsPresent,0
browser.security.xFrameOptionsOrCspFrameAncestors,0
browser.security.referrerPolicyPresent,0
browser.security.zeroJsErrorsInConsole,0
browser.security.noDeprecatedApiWarnings,1
browser.security.mixedContentDetected,0
browser.security.tlsCertificateValid,1
browser.security.sensitiveDataInClientStorage,0
browser.security.cookieSameSiteSecureFlags,0
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,0
browser.performance.cssDeliveryOptimized,0
browser.performance.unusedJsRemoved,0
browser.performance.webfontUsesWoff2,1
browser.performance.lighthousePerformanceScore,1499
browser.performance.lcpMs,1499
browser.performance.clsScore,0.08
browser.performance.inpMs,95
browser.performance.longTasksOnMainThread,0
browser.performance.tbtWithinBudget,1
browser.performance.ttfbMs,011
browser.performance.lighthouseSeoScore,85
browser.performance.lighthouseBestPracticesScore,54
browser.performance.totalPageWeightKb,554
browser.performance.compressionEnabled,
browser.performance.imageOptimizationIssues,11
browser.performance.resourcesOverHttp2OrHttp3,1
browser.performance.unusedJsCssPercent,50
browser.performance.fcpMs,124
browser.performance.speedIndexMs,124
browser.performance.duplicateNetworkRequests,24
browser.development.metaDescriptionPresent,0
browser.development.metaDescriptionLength,199
browser.development.faviconPresent,0
browser.development.canonicalUrlPresent,1
browser.development.hreflangImplemented,0
browser.development.cssBeforeScriptsInHead,
browser.development.externalLinksHaveNoopener,1
browser.development.customErrorPagesExist,1
browser.development.responsiveAtAllBreakpoints,1
browser.development.clsInPerformancePanel,
browser.development.noRenderBlockingResources,0
browser.development.noConsoleLogInProduction,0
browser.development.noViolationMessagesInConsole,0
browser.development.noForcedSyncLayoutsInFlameChart,1
browser.development.noExcessiveRepaintsOnScroll,1
browser.development.noDetachedDomNodes,1
browser.development.preloadedResourcesConsumed,0
browser.development.webFontsLoadWithoutFoit,0
code.html.semantics.semanticToDivRatioPass,1
code.html.semantics.headingHierarchyCorrect,1
code.html.semantics.singleH1PerPage,0
code.html.structure.domSourceOrderMatchesTabOrder,1
code.html.structure.criticalContentInRawHtml,1
code.html.structure.excessiveDomDepth,0
code.html.forms.radioCheckboxHaveFieldsetLegend,0
code.html.forms.allInputsHaveLabels,1
code.html.forms.missingLabelsCount,0
code.html.forms.placeholderUsedAsLabel,0
code.html.forms.errorMessagesLinkedToInputs,0
code.html.forms.interactiveElementsHaveAccessibleNames,0
code.html.forms.inlineStylesCount,0
code.html.media.decorativeImagesHaveEmptyAlt,1
code.html.media.altTextQualityPass,1
code.html.media.missingOrInvalidAltCount,0
code.html.media.tablesHaveTheadTbody,1
code.html.media.tableHeadersUseTh,0
code.html.media.listsUseUlOrOlCorrectly,1
code.html.media.imgElementsHaveDimensionsForCls,
code.html.metadata.pageTitlePresent,1
code.html.metadata.pageTitleQualityPass,1
code.html.metadata.metaViewportConfigured,1
code.html.metadata.charsetDeclaredInHead,1
code.html.metadata.langAttributeValid,1
code.html.metadata.dirAttributeForRtl,
code.html.metadata.duplicateIdsCount,0
code.html.metadata.invalidHtmlNestingCount,0
code.html.metadata.htmlValidationErrorCount,0
code.html.metadata.ariaRolesDontDuplicateSemantics,1
code.html.metadata.noAriaMisuse,1
code.html.metadata.ariaUsedOnlyWhenNecessary,1
code.html.metadata.metaTagsDoNotBlockZoom,1
code.html.metadata.brokenLinksCount,0
code.css.tokens.cssVarsUsedForColors,1
code.css.tokens.cssVarsUsedForSpacing,1
code.css.tokens.cssVarsUsedForTypography,1
code.css.tokens.cssVarsUsedForFontFamily,1
code.css.tokens.hardcodedHexOrRgbCount,0
code.css.tokens.hardcodedPixelSpacingCount,0
code.css.maintainability.namingConventionsConsistent,1
code.css.maintainability.classNamesAvoidColorOrPosition,1
code.css.maintainability.selectorsColocatedInSameFile,
code.css.maintainability.printStylesheetHidesNonEssential,
code.css.layout.modernLayoutUsed,1
code.css.layout.mobileFirstMediaQueries,1
code.css.layout.standardBreakpointsOnly,1
code.css.layout.responsiveImagesByDefault,1
code.css.layout.zIndexEscalationIssues,1
code.css.performance.noExpensiveBoxShadows,1
code.css.performance.noHeavyCssFilters,1
code.css.performance.noInfiniteAnimationsOnNonLoaders,0
code.css.performance.cssCompatibilityIssuesCount,0
code.css.performance.vendorPrefixIssues,
code.css.quality.duplicateCssRulesCount,
code.css.quality.unusedCssSelectorsCount,
code.css.quality.propertyOrderingConsistent,
code.javascript.loading.noBlockingScriptsInHead,0
code.javascript.loading.asyncOrDeferUsed,1
code.javascript.loading.thirdPartyScriptsLazyLoaded,0
code.javascript.loading.noUnusedModulesLoaded,
code.javascript.loading.noMarketingTagsInHead,1
code.javascript.loading.userFacingStringsUseI18nKeys,
code.javascript.loading.noBinariesInRepo,
code.javascript.loading.errorMessagesFollowPattern,
