key,value
metadata.projectName,Metropolis
metadata.repoUrl,https://github.com/Global-Mobility/metropolis.git
metadata.appUrl,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
metadata.auditDate,2026-05-20
metadata.auditorName,
metadata.auditVersion,2.0.0
metadata.projectType,
metadata.projectManager,
metadata.architectLead,
metadata.currentPhase,
summary.browserAudit.total,47
summary.browserAudit.passed,25
summary.browserAudit.failed,22
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,113
summary.codeAudit.failed,30
summary.codeAudit.notApplicable,0
summary.manualAudit.total,0
summary.manualAudit.passed,0
summary.manualAudit.failed,0
summary.manualAudit.notApplicable,0
summary.overall.total,190
summary.overall.passed,138
summary.overall.failed,52
summary.overall.notApplicable,0
summary.overall.mandatoryFailed,45
summary.overall.criticalFailed,20
summary.overall.highFailed,23
summary.overall.mediumFailed,9
scores.overall,68.7
scores.discovery,
scores.contentQuality,
scores.internationalization,
scores.design,
scores.userExperience,
scores.visualDesign,
scores.setup,
scores.development,77.6
scores.architectureReview,
scores.testing,
scores.security,69.6
scores.performance,50
scores.accessibility,72.7
scores.authorValidation,
scores.preGoLive,
scores.postGoLive,
scores.processGovernance,83.3
browser.accessibility.skipLinksImplemented,1
browser.accessibility.lighthouseAccessibilityScore,95
browser.accessibility.wcagViolationsCritical,95
browser.accessibility.wcagViolationsTotal,95
browser.security.inlineScriptsWithoutNonce,0
browser.security.formActionsUseHttps,1
browser.security.cspHeaderPresent,0
browser.security.cspHasUnsafeDirectives,1
browser.security.xContentTypeOptionsPresent,0
browser.security.xFrameOptionsOrCspFrameAncestors,0
browser.security.referrerPolicyPresent,0
browser.security.zeroJsErrorsInConsole,1
browser.security.noDeprecatedApiWarnings,1
browser.security.mixedContentDetected,0
browser.security.tlsCertificateValid,1
browser.security.sensitiveDataInClientStorage,0
browser.security.cookieSameSiteSecureFlags,1
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,1
browser.performance.cssDeliveryOptimized,1
browser.performance.unusedJsRemoved,1
browser.performance.webfontUsesWoff2,0
